sku,barcode,category,subcategory,product_name,variant_name,net_content,selling_unit,retail_price_dzd,purchase_price_dzd,supplier_code,purchase_unit,units_per_purchase_unit,shelf_life_days,base_daily_rate,seasonality_profile,substitutability_tier
GDZ-0129,2000000001296,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Nounours,Gaufrette Nounours Citron 150g,150 g,piece,110.00,72.99,SUP-BOIS,carton,20,270,0.738,snacks,1
GDZ-0130,2000000001302,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Nounours,Petit Beurre Nounours 200g,200 g,piece,122.00,72.88,SUP-BOIS,carton,12,270,1.027,snacks,1
GDZ-0131,2000000001319,Épicerie Sucrée & Biscuiterie,Chocolat & Pâtes à Tartiner,Chocolat Bifa Story,Story Tablette Pistache Kunafa 115g,115 g,piece,370.00,242.43,SUP-BOIS,carton,20,365,2.526,snacks,2
GDZ-0132,2000000001326,Épicerie Sucrée & Biscuiterie,Chocolat & Pâtes à Tartiner,Chocolat Bifa Story,Story Barre Pistache Kunafa 37g,37 g,piece,170.00,114.08,SUP-BOIS,carton,48,365,1.971,snacks,2
GDZ-0133,2000000001333,Épicerie Sucrée & Biscuiterie,Chocolat & Pâtes à Tartiner,Chocolat Bifa Story,Story Tablette Chocolat au Lait 100g,100 g,piece,210.00,127.04,SUP-BOIS,carton,24,365,0.781,snacks,2
GDZ-0134,2000000001340,Épicerie Sucrée & Biscuiterie,Halwa & Confitures,Halwa Chamia Al Ghazal,Halwa Nature Barquette 100g,100 g,piece,140.00,92.57,SUP-BOIS,carton,48,365,0.682,ramadan_sweets,2
GDZ-0135,2000000001357,Épicerie Sucrée & Biscuiterie,Halwa & Confitures,Halwa Chamia Al Ghazal,Halwa aux Pistaches Barquette 200g,200 g,piece,220.00,144.63,SUP-BOIS,carton,24,365,0.512,ramadan_sweets,2
GDZ-0136,2000000001364,Épicerie Sucrée & Biscuiterie,Halwa & Confitures,Halwa Chamia Al Ghazal,Halwa aux Noisettes Barquette 200g,200 g,piece,223.00,142.52,SUP-BOIS,carton,24,365,0.726,ramadan_sweets,2
GDZ-0137,2000000001371,Épicerie Sucrée & Biscuiterie,Halwa & Confitures,Halwa Chamia La Rose,Halwa Nature Boîte 400g,400 g,piece,410.00,249.66,SUP-BOIS,carton,12,365,0.312,ramadan_sweets,2
GDZ-0138,2000000001388,Épicerie Sucrée & Biscuiterie,Halwa & Confitures,Halwa Chamia La Rose,Halwa Nature Boîte 800g,800 g,piece,770.00,479.93,SUP-BOIS,carton,6,365,0.184,ramadan_sweets,2
GDZ-0139,2000000001395,Épicerie Sucrée & Biscuiterie,Halwa & Confitures,Confiture Cevital,Confiture de Fraise Pot Verre 450g,450 g,piece,250.00,163.72,SUP-CEVI,carton,12,540,0.420,staples,2
GDZ-0140,2000000001401,Épicerie Sucrée & Biscuiterie,Halwa & Confitures,Confiture Cevital,Confiture d'Abricot Pot Verre 450g,450 g,piece,251.00,157.79,SUP-CEVI,carton,12,540,0.474,staples,2
GDZ-0141,2000000001418,Épicerie Sucrée & Biscuiterie,Halwa & Confitures,Confiture Cevital,Confiture de Figue Pot Verre 450g,450 g,piece,270.00,172.37,SUP-CEVI,carton,12,540,0.597,staples,2
GDZ-0142,2000000001425,Épicerie Sucrée & Biscuiterie,Halwa & Confitures,Confiture Cevital,Confiture d'Orange Pot Verre 450g,450 g,piece,280.00,169.76,SUP-CEVI,carton,12,540,0.605,staples,2
GDZ-0143,2000000001432,Épicerie Sucrée & Biscuiterie,Halwa & Confitures,Confiture Cevital,Confiture d'Abricot Seau 1kg,1000 g,piece,540.00,335.21,SUP-CEVI,carton,6,540,0.334,staples,2
GDZ-0144,2000000001449,Épicerie Sucrée & Biscuiterie,Halwa & Confitures,Confiture Cevital,Confiture de Fraise Seau 1kg,1000 g,piece,500.00,307.78,SUP-CEVI,carton,6,540,0.226,staples,2
GDZ-0145,2000000001456,Épicerie Sucrée & Biscuiterie,Chips & Snacks,Snacks & Chips Algérie,Flash Puffs Fromage Sachet 30g,30 g,piece,35.00,23.47,SUP-BOIS,carton,30,180,2.421,snacks,1
GDZ-0146,2000000001463,Épicerie Sucrée & Biscuiterie,Chips & Snacks,Snacks & Chips Algérie,Flash Puffs Piment Fort Sachet 30g,30 g,piece,31.00,20.06,SUP-BOIS,carton,30,180,1.513,snacks,1
GDZ-0147,2000000001470,Épicerie Sucrée & Biscuiterie,Chips & Snacks,Snacks & Chips Algérie,Spooka Chips Sel Sachet 40g,40 g,piece,40.00,26.73,SUP-BOIS,carton,24,180,1.758,snacks,1
GDZ-0148,2000000001487,Épicerie Sucrée & Biscuiterie,Chips & Snacks,Snacks & Chips Algérie,Spooka Chips Paprika Sachet 40g,40 g,piece,42.00,24.72,SUP-BOIS,carton,24,180,1.713,snacks,1
GDZ-0149,2000000001494,Épicerie Sucrée & Biscuiterie,Chips & Snacks,Snacks & Chips Algérie,Mahbool Chips Ketchup Sachet 35g,35 g,piece,35.00,22.18,SUP-BOIS,carton,30,180,3.199,snacks,1
GDZ-0150,2000000001500,Épicerie Sucrée & Biscuiterie,Chips & Snacks,Snacks & Chips Algérie,Mahbool Chips Harissa Sachet 35g,35 g,piece,35.00,23.51,SUP-BOIS,carton,30,180,2.558,snacks,1
GDZ-0151,2000000001517,Boissons & Jus,Sodas & Boissons Gazeuses,Sodas Hamoud Boualem,Selecto Canette 33cl,330 ml,piece,60.00,40.18,SUP-BOIS,carton,30,270,3.394,beverages_summer,2
GDZ-0152,2000000001524,Boissons & Jus,Sodas & Boissons Gazeuses,Sodas Hamoud Boualem,Selecto Bouteille PET 1L,1000 ml,piece,130.00,92.14,SUP-BOIS,carton,12,270,2.806,beverages_summer,2
GDZ-0153,2000000001531,Boissons & Jus,Sodas & Boissons Gazeuses,Sodas Hamoud Boualem,Selecto Bouteille PET 2L,2000 ml,piece,230.00,158.58,SUP-BOIS,carton,6,270,0.542,beverages_summer,2
GDZ-0154,2000000001548,Boissons & Jus,Sodas & Boissons Gazeuses,Sodas Hamoud Boualem,Hamoud La Blanche Canette 33cl,330 ml,piece,60.00,40.72,SUP-BOIS,carton,30,270,3.286,beverages_summer,2
GDZ-0155,2000000001555,Boissons & Jus,Sodas & Boissons Gazeuses,Sodas Hamoud Boualem,Hamoud La Blanche Bouteille PET 1L,1000 ml,piece,121.00,85.34,SUP-BOIS,carton,12,270,1.236,beverages_summer,2
GDZ-0156,2000000001562,Boissons & Jus,Sodas & Boissons Gazeuses,Sodas Hamoud Boualem,Hamoud La Blanche Bouteille PET 2L,2000 ml,piece,230.00,159.28,SUP-BOIS,carton,6,270,1.101,beverages_summer,2
GDZ-0157,2000000001579,Boissons & Jus,Sodas & Boissons Gazeuses,Sodas Hamoud Boualem,Slim Citron Bouteille PET 1L,1000 ml,piece,122.00,82.32,SUP-BOIS,carton,12,270,1.431,beverages_summer,2
GDZ-0158,2000000001586,Boissons & Jus,Sodas & Boissons Gazeuses,Sodas Hamoud Boualem,Slim Orange Bouteille PET 1L,1000 ml,piece,120.00,80.03,SUP-BOIS,carton,12,270,1.338,beverages_summer,2
GDZ-0159,2000000001593,Boissons & Jus,Sodas & Boissons Gazeuses,Sodas Hamoud Boualem,Slim Pomme Bouteille PET 1L,1000 ml,piece,120.00,81.95,SUP-BOIS,carton,12,270,1.439,beverages_summer,2
GDZ-0160,2000000001609,Boissons & Jus,Sodas & Boissons Gazeuses,Sodas Hamoud Boualem,Slim Ananas Bouteille PET 2L,2000 ml,piece,210.00,146.08,SUP-BOIS,carton,6,270,1.343,beverages_summer,2
GDZ-0161,2000000001616,Boissons & Jus,Eaux Minérales,Eau Minérale Ifri,Bouteille PET 33cl,330 ml,piece,20.00,14.57,SUP-BOIS,carton,30,540,10.837,water_summer,1
GDZ-0162,2000000001623,Boissons & Jus,Eaux Minérales,Eau Minérale Ifri,Bouteille PET 50cl,500 ml,piece,25.00,18.85,SUP-BOIS,carton,20,540,5.021,water_summer,1
GDZ-0163,2000000001630,Boissons & Jus,Eaux Minérales,Eau Minérale Ifri,Bouteille PET 1.5L,1500 ml,piece,47.00,32.86,SUP-BOIS,carton,6,540,4.650,water_summer,1
GDZ-0164,2000000001647,Boissons & Jus,Eaux Minérales,Eau Minérale Ifri,Bouteille PET 2L,2000 ml,piece,60.00,45.98,SUP-BOIS,carton,4,540,2.163,water_summer,1
GDZ-0165,2000000001654,Boissons & Jus,Eaux Minérales,Eau Minérale Ifri,Bidon PET 5L,5000 ml,piece,130.00,94.43,SUP-BOIS,carton,2,540,1.887,water_summer,1
GDZ-0166,2000000001661,Boissons & Jus,Eaux Minérales,Eau Minérale Ifri,Eau Gazéifiée Bouteille 1L,1000 ml,piece,71.00,53.22,SUP-BOIS,carton,6,540,1.141,water_summer,1
GDZ-0167,2000000001678,Boissons & Jus,Jus & Nectars,Jus Ramy,Nectar Orange Bouteille PET 1L,1000 ml,piece,201.00,139.20,SUP-BOIS,carton,12,270,0.703,juice,2
GDZ-0168,2000000001685,Boissons & Jus,Jus & Nectars,Jus Ramy,Nectar Pêche-Abricot Bouteille PET 1L,1000 ml,piece,190.00,124.84,SUP-BOIS,carton,12,270,0.801,juice,2
GDZ-0169,2000000001692,Boissons & Jus,Jus & Nectars,Jus Ramy,Nectar Cocktail Tropical Bouteille PET 1L,1000 ml,piece,190.00,132.84,SUP-BOIS,carton,12,270,1.293,juice,2
GDZ-0170,2000000001708,Boissons & Jus,Jus & Nectars,Jus Ramy,Nectar Ananas-Mangue Bouteille PET 1L,1000 ml,piece,190.00,133.46,SUP-BOIS,carton,12,270,0.721,juice,2
GDZ-0171,2000000001715,Boissons & Jus,Jus & Nectars,Jus Ramy,Nectar Pomme Bouteille PET 1L,1000 ml,piece,200.00,135.09,SUP-BOIS,carton,12,270,0.731,juice,2
GDZ-0172,2000000001722,Boissons & Jus,Jus & Nectars,Jus Ramy,Pack Enfant Orange Brique 200ml,200 ml,piece,70.00,48.12,SUP-BOIS,carton,48,270,2.266,juice,2
GDZ-0173,2000000001739,Boissons & Jus,Jus & Nectars,Jus Ramy,Pack Enfant Pêche Brique 200ml,200 ml,piece,70.00,47.67,SUP-BOIS,carton,48,270,1.643,juice,2
GDZ-0174,2000000001746,Boissons & Jus,Jus & Nectars,Jus Rouiba,Nectar Pêche Bouteille PET 1L,1000 ml,piece,180.00,118.72,SUP-BOIS,carton,12,270,1.033,juice,2
GDZ-0175,2000000001753,Boissons & Jus,Jus & Nectars,Jus Rouiba,Nectar Orange-Carotte Bouteille PET 1L,1000 ml,piece,190.00,126.07,SUP-BOIS,carton,12,270,0.768,juice,2
GDZ-0176,2000000001760,Boissons & Jus,Jus & Nectars,Jus Rouiba,Nectar Cocktail Bouteille PET 1L,1000 ml,piece,180.00,119.73,SUP-BOIS,carton,12,270,0.782,juice,2
GDZ-0177,2000000001777,Boissons & Jus,Jus & Nectars,Jus Rouiba,Nectar Poire Bouteille PET 1L,1000 ml,piece,200.00,138.73,SUP-BOIS,carton,12,270,0.818,juice,2
GDZ-0178,2000000001784,Boissons & Jus,Jus & Nectars,Jus Rouiba,Nectar Abricot Brique 200ml,200 ml,piece,75.00,50.58,SUP-BOIS,carton,48,270,1.506,juice,2
GDZ-0179,2000000001791,Boissons & Jus,Jus & Nectars,Jus Rouiba,Nectar Orange Brique 200ml,200 ml,piece,75.00,52.33,SUP-BOIS,carton,48,270,1.016,juice,2
GDZ-0180,2000000001807,Boissons & Jus,Sodas & Boissons Gazeuses,Boissons Gazeuses Ifri,Ifruit Pomme-Pêche Bouteille 1.25L,1250 ml,piece,140.00,91.80,SUP-BOIS,carton,10,270,1.602,beverages_summer,2
GDZ-0181,2000000001814,Boissons & Jus,Sodas & Boissons Gazeuses,Boissons Gazeuses Ifri,Ifruit Agrumes Bouteille 1.25L,1250 ml,piece,140.00,96.12,SUP-BOIS,carton,10,270,1.151,beverages_summer,2
GDZ-0182,2000000001821,Boissons & Jus,Sodas & Boissons Gazeuses,Boissons Gazeuses Ifri,Ifri Gazouz Cola Bouteille 1.5L,1500 ml,piece,173.00,114.67,SUP-BOIS,carton,10,270,1.306,beverages_summer,2
GDZ-0183,2000000001838,Boissons & Jus,Sodas & Boissons Gazeuses,Boissons Gazeuses Ifri,Ifri Gazouz Citron Bouteille 1.5L,1500 ml,piece,171.00,120.39,SUP-BOIS,carton,10,270,2.533,beverages_summer,2
GDZ-0184,2000000001845,Boissons & Jus,Eaux Minérales,Eau Minérale Saïda,Bouteille PET 50cl,500 ml,piece,21.00,15.20,SUP-BOIS,carton,20,540,5.557,water_summer,1
GDZ-0185,2000000001852,Boissons & Jus,Eaux Minérales,Eau Minérale Saïda,Bouteille PET 1.5L,1500 ml,piece,45.00,32.31,SUP-BOIS,carton,6,540,7.765,water_summer,1
GDZ-0186,2000000001869,Boissons & Jus,Eaux Minérales,Eau Minérale Saïda,Bidon PET 5L,5000 ml,piece,130.00,98.38,SUP-BOIS,carton,2,540,2.046,water_summer,1
GDZ-0187,2000000001876,Boissons & Jus,Eaux Minérales,Eau Minérale Algérie,Lalla Khedidja Bouteille PET 1.5L,1500 ml,piece,45.00,32.49,SUP-BOIS,carton,6,540,6.660,water_summer,1
GDZ-0188,2000000001883,Boissons & Jus,Eaux Minérales,Eau Minérale Algérie,Batna Eau Minérale Bouteille PET 1.5L,1500 ml,piece,45.00,34.92,SUP-BOIS,carton,6,540,5.113,water_summer,1
GDZ-0189,2000000001890,Boissons & Jus,Boissons Énergisantes,Boissons Énergisantes,Izem Energy Canette 250ml,250 ml,piece,112.00,76.88,SUP-BOIS,carton,24,365,0.378,beverages_summer,3
GDZ-0190,2000000001906,Boissons & Jus,Boissons Énergisantes,Boissons Énergisantes,Red Bull Canette 250ml,250 ml,piece,280.00,194.69,SUP-BOIS,carton,24,365,0.131,beverages_summer,3
GDZ-0191,2000000001913,Boissons & Jus,Jus & Nectars,Jus Tchin Candia,Tchin Nectar Orange Brique 1L,1000 ml,piece,201.00,136.77,SUP-LAIT,carton,12,270,1.126,juice,2
GDZ-0192,2000000001920,Boissons & Jus,Jus & Nectars,Jus Tchin Candia,Tchin Nectar Pêche Brique 1L,1000 ml,piece,204.00,141.13,SUP-LAIT,carton,12,270,1.409,juice,2
GDZ-0193,2000000001937,Boissons & Jus,Jus & Nectars,Jus Tchin Candia,Tchin Multivitamine Brique 1L,1000 ml,piece,190.00,132.06,SUP-LAIT,carton,12,270,0.826,juice,2
GDZ-0194,2000000001944,Boissons & Jus,Jus & Nectars,Jus Tchin Candia,Tchin Pomme Brique 200ml,200 ml,piece,70.00,48.38,SUP-LAIT,carton,48,270,1.657,juice,2
GDZ-0195,2000000001951,Boissons & Jus,Sirops & Eaux Florales,Sirops & Arômes Casbah,Sirop de Menthe Bouteille Verre 75cl,750 ml,piece,360.00,250.62,SUP-BOIS,carton,12,540,0.347,ramadan_sweets,2
GDZ-0196,2000000001968,Boissons & Jus,Sirops & Eaux Florales,Sirops & Arômes Casbah,Sirop de Grenadine Bouteille Verre 75cl,750 ml,piece,363.00,245.11,SUP-BOIS,carton,12,540,0.223,ramadan_sweets,2
GDZ-0197,2000000001975,Boissons & Jus,Sirops & Eaux Florales,Sirops & Arômes Casbah,Sirop de Citron Bouteille Verre 75cl,750 ml,piece,380.00,264.13,SUP-BOIS,carton,12,540,0.264,ramadan_sweets,2
GDZ-0198,2000000001982,Boissons & Jus,Sirops & Eaux Florales,Sirops & Arômes Casbah,Sirop d'Orgeat Bouteille Verre 75cl,750 ml,piece,381.00,260.92,SUP-BOIS,carton,12,540,0.312,ramadan_sweets,2
GDZ-0199,2000000001999,Boissons & Jus,Sirops & Eaux Florales,Sirops & Arômes Casbah,Eau de Fleur d'Oranger Bouteille 500ml,500 ml,piece,180.00,121.78,SUP-BOIS,carton,12,540,0.256,ramadan_sweets,2
GDZ-0200,2000000002002,Boissons & Jus,Sirops & Eaux Florales,Sirops & Arômes Casbah,Eau de Rose Bouteille 500ml,500 ml,piece,180.00,121.80,SUP-BOIS,carton,12,540,0.364,ramadan_sweets,2
GDZ-0201,2000000002019,Conserves & Condiments,Tomate & Harissa,Double Concentré de Tomate Amor Benamor,Boîte Métal 400g,400 g,piece,164.00,127.94,SUP-EPIC,carton,24,730,2.689,ramadan_staples,1
GDZ-0202,2000000002026,Conserves & Condiments,Tomate & Harissa,Double Concentré de Tomate Amor Benamor,Boîte Métal 800g,800 g,piece,270.00,217.76,SUP-EPIC,carton,12,730,1.503,ramadan_staples,1
GDZ-0203,2000000002033,Conserves & Condiments,Tomate & Harissa,Double Concentré de Tomate Amor Benamor,Tube 135g,135 g,piece,75.00,60.23,SUP-EPIC,carton,48,730,2.441,ramadan_staples,1
GDZ-0204,2000000002040,Conserves & Condiments,Tomate & Harissa,Double Concentré de Tomate Amor Benamor,Bocal Verre 370g,370 g,piece,150.00,120.93,SUP-EPIC,carton,24,730,2.109,ramadan_staples,1
GDZ-0205,2000000002057,Conserves & Condiments,Tomate & Harissa,Double Concentré de Tomate Izdiher,Boîte Métal 400g,400 g,piece,150.00,122.63,SUP-EPIC,carton,24,730,2.733,ramadan_staples,1
GDZ-0206,2000000002064,Conserves & Condiments,Tomate & Harissa,Double Concentré de Tomate Izdiher,Boîte Métal 800g,800 g,piece,270.00,211.35,SUP-EPIC,carton,12,730,1.630,ramadan_staples,1
GDZ-0207,2000000002071,Conserves & Condiments,Tomate & Harissa,Double Concentré de Tomate Izdiher,Seau Plastique 4kg,4000 g,piece,1150.00,921.82,SUP-EPIC,carton,2,730,0.503,ramadan_staples,1
GDZ-0208,2000000002088,Conserves & Condiments,Tomate & Harissa,Double Concentré de Tomate Djurdjura,Boîte Métal 400g,400 g,piece,150.00,117.14,SUP-EPIC,carton,24,730,3.093,ramadan_staples,1
GDZ-0209,2000000002095,Conserves & Condiments,Tomate & Harissa,Double Concentré de Tomate Djurdjura,Boîte Métal 800g,800 g,piece,270.00,216.11,SUP-EPIC,carton,12,730,0.928,ramadan_staples,1
GDZ-0210,2000000002101,Conserves & Condiments,Tomate & Harissa,Harissa Piquante Amor Benamor,Tube Aluminium 70g,70 g,piece,60.00,48.09,SUP-EPIC,carton,48,540,0.609,ramadan_cooking,2
GDZ-0211,2000000002118,Conserves & Condiments,Tomate & Harissa,Harissa Piquante Amor Benamor,Boîte Métal 135g,135 g,piece,90.00,71.00,SUP-EPIC,carton,24,540,0.658,ramadan_cooking,2
GDZ-0212,2000000002125,Conserves & Condiments,Tomate & Harissa,Harissa Piquante Amor Benamor,Boîte Métal 380g,380 g,piece,230.00,186.68,SUP-EPIC,carton,10,540,0.401,ramadan_cooking,2
GDZ-0213,2000000002132,Conserves & Condiments,Tomate & Harissa,Harissa Piquante Petit Paris,Bocal Verre 200g,200 g,piece,130.00,105.34,SUP-EPIC,carton,20,540,0.902,ramadan_cooking,2
GDZ-0214,2000000002149,Conserves & Condiments,Sauces & Condiments,Sauces & Condiments Fleurial,Moutarde Douce Pot 150g,150 g,piece,130.00,85.85,SUP-CEVI,carton,24,270,0.685,sauces,2
GDZ-0215,2000000002156,Conserves & Condiments,Sauces & Condiments,Sauces & Condiments Fleurial,Moutarde Douce Pot 350g,350 g,piece,231.00,143.60,SUP-CEVI,carton,10,270,0.578,sauces,2
GDZ-0216,2000000002163,Conserves & Condiments,Sauces & Condiments,Sauces & Condiments Fleurial,Ketchup Daily Sauce Flacon 280g,280 g,piece,200.00,117.96,SUP-CEVI,carton,12,270,0.457,sauces,2
GDZ-0217,2000000002170,Conserves & Condiments,Sauces & Condiments,Sauces & Condiments Fleurial,Ketchup Daily Sauce Flacon 500g,500 g,piece,323.00,210.77,SUP-CEVI,carton,6,270,0.257,sauces,2
GDZ-0218,2000000002187,Conserves & Condiments,Sauces & Condiments,Sauces & Condiments Fleurial,Mayonnaise Onctueuse Pot 250g,250 g,piece,190.00,113.58,SUP-CEVI,carton,12,270,0.429,sauces,2
GDZ-0219,2000000002194,Conserves & Condiments,Sauces & Condiments,Sauces & Condiments Fleurial,Mayonnaise Onctueuse Pot 500g,500 g,piece,310.00,190.88,SUP-CEVI,carton,6,270,0.396,sauces,2
GDZ-0220,2000000002200,Conserves & Condiments,Sauces & Condiments,Sauces & Condiments Fleurial,Sauce Salade Ciboulette Bouteille 500ml,500 ml,piece,200.00,119.72,SUP-CEVI,carton,12,270,0.762,sauces,2
GDZ-0221,2000000002217,Conserves & Condiments,Sauces & Condiments,Sauces Foody's Algérie,Sauce Samouraï Flacon Squeeze 900g,900 g,piece,530.00,339.36,SUP-EPIC,carton,4,270,0.196,sauces,2
GDZ-0222,2000000002224,Conserves & Condiments,Sauces & Condiments,Sauces Foody's Algérie,Sauce Algérienne Flacon Squeeze 900g,900 g,piece,553.00,338.70,SUP-EPIC,carton,4,270,0.197,sauces,2
GDZ-0223,2000000002231,Conserves & Condiments,Sauces & Condiments,Sauces Casbah,Sauce Barbecue Bouteille 350g,350 g,piece,220.00,130.17,SUP-EPIC,carton,10,270,1.074,sauces,2
GDZ-0224,2000000002248,Conserves & Condiments,Thon & Poisson,Thon en Conserve Maratun,Thon Entier Huile Végétale Boîte 160g,160 g,piece,390.00,292.12,SUP-EPIC,carton,24,1095,1.558,ramadan_cooking,2
GDZ-0225,2000000002255,Conserves & Condiments,Thon & Poisson,Thon en Conserve Maratun,Thon Entier Sauce Tomate Boîte 160g,160 g,piece,362.00,258.40,SUP-EPIC,carton,24,1095,0.606,ramadan_cooking,2
GDZ-0226,2000000002262,Conserves & Condiments,Thon & Poisson,Thon en Conserve Maratun,Thon au Naturel Boîte 160g,160 g,piece,400.00,298.42,SUP-EPIC,carton,24,1095,0.601,ramadan_cooking,2
GDZ-0227,2000000002279,Conserves & Condiments,Thon & Poisson,Thon en Conserve Maratun,Trio Miettes de Thon Tomate 3x65g,195 g,piece,480.00,360.83,SUP-EPIC,carton,20,1095,0.691,ramadan_cooking,2
GDZ-0228,2000000002286,Conserves & Condiments,Thon & Poisson,Thon en Conserve Ricamar,Trio Thon à l'Huile Végétale 3x65g,195 g,piece,480.00,348.85,SUP-EPIC,carton,20,1095,0.832,ramadan_cooking,2
GDZ-0229,2000000002293,Conserves & Condiments,Thon & Poisson,Thon en Conserve Ricamar,Trio Thon Sauce Tomate 3x65g,195 g,piece,453.00,327.09,SUP-EPIC,carton,20,1095,1.080,ramadan_cooking,2
GDZ-0230,2000000002309,Conserves & Condiments,Thon & Poisson,Thon en Conserve Ricamar,Trio Thon au Naturel 3x65g,195 g,piece,450.00,324.44,SUP-EPIC,carton,20,1095,0.578,ramadan_cooking,2
GDZ-0231,2000000002316,Conserves & Condiments,Thon & Poisson,Thon en Conserve Ricamar,Thon Entier Huile d'Olive Boîte 160g,160 g,piece,390.00,285.19,SUP-EPIC,carton,24,1095,0.500,ramadan_cooking,2
GDZ-0232,2000000002323,Conserves & Condiments,Thon & Poisson,Thon en Conserve Afia,Trio Thon Huile Végétale 3x65g,195 g,piece,450.00,334.56,SUP-EPIC,carton,20,1095,0.766,ramadan_cooking,2
GDZ-0233,2000000002330,Conserves & Condiments,Thon & Poisson,Thon en Conserve Atlantic,Trio Miettes de Thon Tomate 3x65g,195 g,piece,453.00,338.21,SUP-EPIC,carton,20,1095,1.000,ramadan_cooking,2
GDZ-0234,2000000002347,Conserves & Condiments,Thon & Poisson,Thon en Conserve Atlantic,Thon Entier Huile Végétale 160g,160 g,piece,370.00,270.42,SUP-EPIC,carton,24,1095,1.080,ramadan_cooking,2
GDZ-0235,2000000002354,Conserves & Condiments,"Olives, Pickles & Vinaigres",Olives & Pickles El Kseur,Olives Vertes Dénoyautées Bocal 370g,370 g,piece,260.00,196.29,SUP-EPIC,carton,12,540,0.428,ramadan_cooking,2
GDZ-0236,2000000002361,Conserves & Condiments,"Olives, Pickles & Vinaigres",Olives & Pickles El Kseur,Olives Noires Enchautées Bocal 370g,370 g,piece,280.00,201.81,SUP-EPIC,carton,12,540,0.374,ramadan_cooking,2
GDZ-0237,2000000002378,Conserves & Condiments,"Olives, Pickles & Vinaigres",Olives & Pickles El Kseur,Cornichons au Vinaigre Bocal 370g,370 g,piece,282.00,206.34,SUP-EPIC,carton,12,540,0.354,ramadan_cooking,2
GDZ-0238,2000000002385,Conserves & Condiments,"Olives, Pickles & Vinaigres",Olives & Pickles El Kseur,Câpres au Vinaigre Bocal 200g,200 g,piece,184.00,129.50,SUP-EPIC,carton,24,540,0.513,ramadan_cooking,2
GDZ-0239,2000000002392,Conserves & Condiments,"Olives, Pickles & Vinaigres",Olives & Pickles El Kseur,Piments Forts Confits Bocal 500g,500 g,piece,332.00,241.23,SUP-EPIC,carton,10,540,0.612,ramadan_cooking,2
GDZ-0240,2000000002408,Conserves & Condiments,"Olives, Pickles & Vinaigres",Vinaigre GVC Boulmerka,Vinaigre Blanc d'Alcool Bouteille 1L,1000 ml,piece,100.00,72.82,SUP-EPIC,carton,12,1095,0.789,staples,1
GDZ-0241,2000000002415,Conserves & Condiments,"Olives, Pickles & Vinaigres",Vinaigre GVC Boulmerka,Vinaigre Aromatisé Estragon Bouteille 1L,1000 ml,piece,104.00,73.80,SUP-EPIC,carton,12,1095,0.335,staples,1
GDZ-0242,2000000002422,Conserves & Condiments,"Olives, Pickles & Vinaigres",Vinaigre GVC Boulmerka,Vinaigre de Cidre Bouteille 500ml,500 ml,piece,251.00,178.99,SUP-EPIC,carton,24,1095,0.631,staples,1
GDZ-0243,2000000002439,Conserves & Condiments,"Olives, Pickles & Vinaigres",Vinaigre El Kseur,Vinaigre d'Alcool Bouteille 1.5L,1500 ml,piece,150.00,112.05,SUP-EPIC,carton,10,1095,0.302,staples,1
GDZ-0244,2000000002446,Conserves & Condiments,Épices,Épices Moulues El Baraka,Poivre Noir Moulu Sachet 100g,100 g,piece,274.00,217.04,SUP-EPIC,carton,20,540,0.826,spices,1
GDZ-0245,2000000002453,Conserves & Condiments,Épices,Épices Moulues El Baraka,Cumin Moulu Sachet 100g,100 g,piece,200.00,160.97,SUP-EPIC,carton,20,540,0.511,spices,1
GDZ-0246,2000000002460,Conserves & Condiments,Épices,Épices Moulues El Baraka,Ras El Hanout Sachet 100g,100 g,piece,160.00,128.44,SUP-EPIC,carton,20,540,0.745,spices,1
GDZ-0247,2000000002477,Conserves & Condiments,Épices,Épices Moulues El Baraka,Paprika Doux Sachet 100g,100 g,piece,141.00,111.87,SUP-EPIC,carton,20,540,0.605,spices,1
GDZ-0248,2000000002484,Conserves & Condiments,Épices,Épices Moulues El Baraka,Curcuma Moulu Sachet 100g,100 g,piece,144.00,112.15,SUP-EPIC,carton,20,540,0.511,spices,1
GDZ-0249,2000000002491,Conserves & Condiments,Épices,Épices Moulues El Baraka,Ail Séché Poudre Sachet 100g,100 g,piece,150.00,119.99,SUP-EPIC,carton,20,540,0.379,spices,1
GDZ-0250,2000000002507,Conserves & Condiments,Épices,Épices Moulues El Baraka,Carvi Moulu Sachet 100g,100 g,piece,150.00,121.78,SUP-EPIC,carton,20,540,0.259,spices,1
GDZ-0251,2000000002514,"Café, Thé & Petit Déjeuner",Café,Café Moulu Facto,Facto Paquet Rouge 250g,250 g,piece,480.00,326.07,SUP-EPIC,carton,20,365,2.372,coffee_tea,3
GDZ-0252,2000000002521,"Café, Thé & Petit Déjeuner",Café,Café Moulu Facto,Facto Expresso Paquet 250g,250 g,piece,483.00,327.83,SUP-EPIC,carton,20,365,1.349,coffee_tea,3
GDZ-0253,2000000002538,"Café, Thé & Petit Déjeuner",Café,Café Moulu Facto,Facto Familial Paquet 500g,500 g,piece,870.00,597.86,SUP-EPIC,carton,10,365,1.362,coffee_tea,3
